,0
1049,ORIENTBELL
1050,ORIENTCEM
1051,ORIENTELEC
1052,ORIENTHOT
1053,ORIENTLTD
1054,ORIENTPPR
1055,ORIENTREF
1056,ORISSAMINE
1057,ORTEL
1058,ORTINLABSS
1059,OSWALAGRO
1060,PAEL
1061,PAGEIND
1062,PAISALO
1063,PALASHSECU
1064,PALREDTEC
1065,PANACEABIO
1066,PANACHE
1067,PANAMAPET
1068,PAPERPROD
1069,PARABDRUGS
1070,PARACABLES
1071,PARAGMILK
1072,PARSVNATH
1073,PATELENG
1074,PATINTLOG
1075,PATSPINLTD
1076,PCJEWELLER
1077,PDMJEPAPER
1078,PDSMFL
1079,PEARLPOLY
1080,PEL
1081,PENIND
1082,PENINLAND
1083,PERSISTENT
1084,PETRONET
1085,PFC
1086,PFIZER
1087,PFOCUS
1088,PFS
1089,PGEL
1090,PGHH
1091,PGHL
1092,PGIL
1093,PHILIPCARB
1094,PHOENIXLTD
1095,PIDILITIND
1096,PIIND
1097,PILANIINVS
1098,PILITA
1099,PIONDIST
1100,PIONEEREMB
1101,PITTIENG
1102,PKTEA
1103,PLASTIBLEN
1104,PNB
1105,PNBGILTS
1106,PNBHOUSING
1107,PNC
1108,PNCINFRA
1109,PODDARHOUS
1110,PODDARMENT
1111,POKARNA
1112,POLYCAB
1113,POLYMED
1114,POLYPLEX
1115,PONNIERODE
1116,POWERGRID
1117,POWERINDIA
1118,POWERMECH
1119,PPAP
1120,PPL
1121,PRABHAT
1122,PRADIP
1123,PRAENG
1124,PRAJIND
1125,PRAKASH
1126,PRAKASHSTL
1127,PRAXIS
1128,PRECAM
1129,PRECOT
1130,PRECWIRE
1131,PREMEXPLN
1132,PREMIER
1133,PREMIERPOL
1134,PRESSMN
1135,PRESTIGE
1136,PRICOLLTD
1137,PRIMESECU
1138,PRINCEPIPE
1139,PROZONINTU
1140,PRSMJOHNSN
1141,PSB
1142,PSL
1143,PSPPROJECT
1144,PTC
1145,PTL
1146,PUNJABCHEM
1147,PUNJLLOYD
1148,PURVA
1149,PVR
1150,QUESS
1151,QUICKHEAL
1152,RADAAN
1153,RADICO
1154,RADIOCITY
1155,RAIN
1156,RAJESHEXPO
1157,RAJRATAN
1158,RAJSREESUG
1159,RAJTV
1160,RALLIS
1161,RAMANEWS
1162,RAMASTEEL
1163,RAMCOCEM
1164,RAMCOIND
1165,RAMCOSYS
1166,RAMKY
1167,RAMSARUP
1168,RANASUG
1169,RANEENGINE
1170,RANEHOLDIN
1171,RATNAMANI
1172,RAYMOND
1173,RBL
1174,RBLBANK
1175,RCF
1176,RCOM
1177,RECLTD
1178,REDINGTON
1179,REFEX
1180,RELAXO
1181,RELCAPITAL
1182,RELIANCE
1183,RELIGARE
1184,RELINFRA
1185,REMSONSIND
1186,RENUKA
1187,REPCOHOME
1188,REPRO
1189,RESPONIND
1190,REVATHI
1191,RGL
1192,RHFL
1193,RICOAUTO
1194,RIIL
1195,RITES
1196,RKDL
1197,RKFORGE
1198,RMCL
1199,RML
1200,RNAVAL
1201,ROHITFERRO
1202,ROHLTD
1203,ROLLT
1204,ROLTA
1205,ROSSARI
1206,ROSSELLIND
1207,RPGLIFE
1208,RPOWER
1209,RPPINFRA
1210,RSSOFTWARE
1211,RSWM
1212,RSYSTEMS
1213,RTNINFRA
1214,RTNPOWER
1215,RUBYMILLS
1216,RUCHI
1217,RUCHINFRA
1218,RUCHIRA
1219,RUPA
1220,RUSHIL
1221,RVNL
1222,S&SPOWER
1223,SABEVENTS
1224,SABTN
1225,SADBHAV
1226,SADBHIN
1227,SAFARI
1228,SAGARDEEP
1229,SAGCEM
1230,SAIL
1231,SAKAR
1232,SAKHTISUG
1233,SAKSOFT
1234,SAKUMA
1235,SALASAR
1236,SALONA
1237,SALSTEEL
1238,SALZERELEC
1239,SAMBHAAV
1240,SANCO
1241,SANDESH
1242,SANDHAR
1243,SANGAMIND
1244,SANGHIIND
1245,SANGHVIFOR
1246,SANGHVIMOV
1247,SANGINITA
1248,SANOFI
1249,SANWARIA
1250,SARDAEN
1251,SAREGAMA
1252,SARLAPOLY
1253,SASKEN
1254,SASTASUNDR
1255,SATHAISPAT
1256,SATIA
1257,SATIN
1258,SATIN-RE
1259,SBICARD
1260,SBILIFE
1261,SBIN
1262,SCAPDVR
1263,SCHAEFFLER
1264,SCHAND
1265,SCHNEIDER
1266,SCI
1267,SDBL
1268,SEAMECLTD
1269,SELAN
